object,member,kind,signature,interface_gaps,status,evidence,note
Application,_Default,"property, read-only",As String,,MISSING,,
Application,_Evaluate,method,_Evaluate(Name As Variant) As Variant,,MISSING,,
Application,_Run2,method,"_Run2([Macro As Variant], [Arg1 As Variant], [Arg2 As Variant], [Arg3 As Variant], [Arg4 As Variant], [Arg5 As Variant], [Arg6 As Variant], [Arg7 As Variant], [Arg8 As Variant], [Arg9 As Variant], [Arg10 As Variant], [Arg11 As Variant], [Arg12 As Variant], [Arg13 As Variant], [Arg14 As Variant], [Arg15 As Variant], [Arg16 As Variant], [Arg17 As Variant], [Arg18 As Variant], [Arg19 As Variant], [Arg20 As Variant], [Arg21 As Variant], [Arg22 As Variant], [Arg23 As Variant], [Arg24 As Variant], [Arg25 As Variant], [Arg26 As Variant], [Arg27 As Variant], [Arg28 As Variant], [Arg29 As Variant], [Arg30 As Variant]) As Variant",,MISSING,,
Application,ActivateMicrosoftApp,method,ActivateMicrosoftApp(Index As XlMSApplication),,MISSING,,
Application,ActiveCell,"property, read-only",As Range,,UNASSESSED,,
Application,ActiveChart,"property, read-only",As Chart,,MISSING,,
Application,ActiveEncryptionSession,"property, read-only",As Long,,MISSING,,
Application,ActivePrinter,property,As String,,MISSING,,
Application,ActiveProtectedViewWindow,"property, read-only",As ProtectedViewWindow,,MISSING,,
Application,ActiveSheet,"property, read-only",As Object,,UNASSESSED,,
Application,ActiveWindow,"property, read-only",As Window,,MISSING,,
Application,ActiveWorkbook,"property, read-only",As Workbook,,UNASSESSED,,
Application,AddCustomList,method,"AddCustomList(ListArray As Variant, [ByRow As Variant])",,MISSING,,
Application,AddIns,"property, read-only",As AddIns,,MISSING,,
Application,AddIns2,"property, read-only",As AddIns2,,MISSING,,
Application,AfterCalculate,event,AfterCalculate(),,MISSING,,
Application,AlertBeforeOverwriting,property,As Boolean,,MISSING,,
Application,AltStartupPath,property,As String,,MISSING,,
Application,AlwaysUseClearType,property,As Boolean,,MISSING,,
Application,Application,"property, read-only",As Application,,UNASSESSED,,
Application,ArbitraryXMLSupportAvailable,"property, read-only",As Boolean,,MISSING,,
Application,AskToUpdateLinks,property,As Boolean,,MISSING,,
Application,Assistance,"property, read-only",As IAssistance,,MISSING,,
Application,AutoCorrect,"property, read-only",As AutoCorrect,,MISSING,,
Application,AutoFormatAsYouTypeReplaceHyperlinks,property,As Boolean,,MISSING,,
Application,AutomationSecurity,property,As MsoAutomationSecurity,,MISSING,,
Application,AutoPercentEntry,property,As Boolean,,MISSING,,
Application,AutoRecover,"property, read-only",As AutoRecover,,MISSING,,
Application,Build,"property, read-only",As Long,,UNASSESSED,,
Application,Calculate,method,Calculate(),,UNASSESSED,,
Application,CalculateBeforeSave,property,As Boolean,,MISSING,,
Application,CalculateFull,method,CalculateFull(),,MISSING,,
Application,CalculateFullRebuild,method,CalculateFullRebuild(),,MISSING,,
Application,CalculateUntilAsyncQueriesDone,method,CalculateUntilAsyncQueriesDone(),,MISSING,,
Application,Calculation,property,As XlCalculation,,UNASSESSED,,
Application,CalculationInterruptKey,property,As XlCalculationInterruptKey,,MISSING,,
Application,CalculationState,"property, read-only",As XlCalculationState,,MISSING,,
Application,CalculationVersion,"property, read-only",As Long,,MISSING,,
Application,Caller,"property, read-only",As Variant,,MISSING,,
Application,CanPlaySounds,"property, read-only",As Boolean,,MISSING,,
Application,CanRecordSounds,"property, read-only",As Boolean,,MISSING,,
Application,Caption,property,As String,,MISSING,,
Application,CellDragAndDrop,property,As Boolean,,MISSING,,
Application,Cells,"property, read-only",As Range,,UNASSESSED,,
Application,CentimetersToPoints,method,CentimetersToPoints(Centimeters As Double) As Double,,MISSING,,
Application,ChartDataPointTrack,property,As Boolean,,MISSING,,
Application,Charts,"property, read-only",As Sheets,,MISSING,,
Application,CheckAbort,method,CheckAbort([KeepAbort As Variant]),,MISSING,,
Application,CheckSpelling,method,"CheckSpelling(Word As String, [CustomDictionary As Variant], [IgnoreUppercase As Variant]) As Boolean",,MISSING,,
Application,ClipboardFormats,"property, read-only",As Variant,,MISSING,,
Application,ClusterConnector,property,As String,,MISSING,,
Application,Columns,"property, read-only",As Range,,UNASSESSED,,
Application,COMAddIns,"property, read-only",As COMAddIns,,MISSING,,
Application,CommandBars,"property, read-only",As CommandBars,,MISSING,,
Application,CommandUnderlines,property,As XlCommandUnderlines,,MISSING,,
Application,ConstrainNumeric,property,As Boolean,,MISSING,,
